cleaned_content,sentiment
bagus,1
bagus dan sangat mudah,1
"aplikasinya lengkap, mudah digunakan. sangaaat bermanfaat",1
error terus,0
cepat dan lancar,1
"sudah 2 kali instal ulang, tapi tidak bisa dapat fitur terbaru.",1
excellent,1
alhamdulillah berhasil,1
"saya ada saldo 50 ribu tidak bisa dipakai dan tidak bisa di refund payah transaksi gagal terus, perbaiki dong!",0
nyaman,1
"cara bikin akun bagaimana? susah banget, apa error mulu?",0
ok,1
bagus sekali,1
ok,1
"aplikasi yang sangat memudahkan perjalanan, fitur lengkap, tidak ngelag ngelag juga, sok helpful",1
canggih aman,1
lebih mudah dan simple,1
"transportasi paleng murah & aman, cumak ada sayang nya: kenapa walaupon gerbong/ kreta masih banyak yang kosong tapi tiket selalu habes?!, bagaimana cara nya supaya tidak begitu cari solosi nya, dan ada lagi yang disesalkan: tempat parker kusus nya motor, kok tidak di bangunkan atap biar tidak kehujanan atau kepanasan kan parker bayar?, juga kusus nya di stasiun blitar parkergak aman pengalaman saya kaca mata saya lupa tak taruh di begasi hilang!?.",1
sangat bagus,1
coolz.,1
"aplikasi bukan mempermudah malah menyusahkan. pesan tiket untuk 6 orang, tapi yang 2 tidak bisa padahal sudah bayar terus ganti tanggal bisa, mau tidak mau yang 4 pindah tanggal juga, tapi yang 2 lagi jadi double tidak bisa dicancle tanggal sebelumnya, aneh. mau refund juga ribet mesti telp cs dan bank ribet banget. sudah banyak kasus begini dan banyak yang malas urus refund, menang banyak ya kai merugikan rakyat, makan tuh duit haram",0
"panduannya jelas, penggunaannya simpel, membantu banget deh apliakasinya, saran saya dipermudahkan untuk cara topup juga sudah lebih simpel lainnya overal bagus aplikasinya",1
ribet,0
baik,1
layanan pembelian tiket lebih mudah dan terjangkau melalui kai akses. mau reschedule tiket dan refund juga terlayani dengan baik. semua layanan tidak harus datang ke loket maupun customer service,1
saya ingin melaporkan bahwa supir di angkot 39 suka ugal-ugalan dan suka sekali memarahi penumpang yang ingin tanya jeklingko yang lainnya,0
mantap. pasti lolos tiket scan masuk bisa.,1
proses mudah dan cepat,1
"parah gede banget potongan kai pay mana tidak bisa top up kurang dari 10k, bisa gaksih dikasih warning dulu sebelum top up!",0
"aplikasi transjakarta sangat memudahkan saya untuk mencari bus terkini,dari fitur nya sudah lengkap dan bisa lihat-lihat rute nya,mantap pokoknya",1
"fiturnya sangat memudahkan untuk cari rute dan halte, aplikasi tidak lemot, sangat membantu",1
"disini saya pesan tiket tujuan jatinegara saya sudah selesaikan transaksi nya tetapi kenapa di aplikasinya masih dalam status ""pembayaran"", dan sekarang sudah melewati batas pembayaran, jadi otomatis gagal, tapi padahal saya sudah melunasi transaksi nya, uang saya kemana jadinya itu",0
mantap,1
praktis dalam pelayanan,1
mantaap,1
"baru mau coba, update, lalu server error",0
prah benar ssh amat. buat masuknya. problem mulu,0
aplikasi tidak srsuai di jam kedatangan bus 5 menit pas di tunggu lebuh dari 30 menit,0
mudah dan banyak pilihan metode bayar,1
ok,1
bagus bagus tingkatkan lagi,1
keren,1
sangat rekomen,1
bagus,1
mantap,1
terlalu ribet buat aplikasi tuh yang memudahkan customer bukan buat ribet seperti ini! update aplikasi mah yang baguslah.,0
daftar yang ribet. maaf uninstall saja,0
sangat baik sekali,1
"parah pelayanan nya bisa"" nya ada waktu 2 menit di bilang sudah brangkat jadi angus deh tiket gue 150 harus beli lagi yang 195 parah utam pelayanan di bekasi kurang bagus tuh tidak ramah parah laki"" sudah tua",1
bagus,1
"akses mudah, mantap",1
mantab,1
tolong lah jangan keseringan di update,0
"1 bintang bersinar cukup oke. sudah bayar tiket kereta pas barcode di scanner malah tidak bisa. kata petugasnya: ""maaf mas jaklingko belum bisa,bisanya pakai linkaje.""",0
simple & friendly,1
"aplikasi error terus, tidak bisa digunakan, parah",0
baik,1
ini nih aplikasi membantu banget bisa lihat informasi tentang transportasi pokok nya nih aplikasi berguna buat ku yang sering kemana mana karena bisa itu lihat jadwal dan halte terdekat atau pun rute perjalanan sip lah,1
"pengalaman sangat buruk ketika harus membeli tiket kereta bukan untuk 1 & 2x tapi sering susah untuk menunggu loading tiba"" tidak ada jadwal, sangat buruk, ketika segala sesuatu disarankan dan dialihkan online, tapi dengan alakadarnya membuat orang sangat dirugikan ketika sudah berharap dan menunggu, dan di tambah lagi tidak mau merespon dan membenahi untuk kritikan dari konsum pengguna layannya kai",0
bagus,1
sangakt mudah.,1
transportasi ternyaman,1
ok,1
suka error tapi tidak ada perbaikan,0
"jaklingko 56 kenapa begitu ya padahal tidak ada penumpang tapi tidak mau berenti, sengaja tidak mau ngangkut apa bagaimana ?",0
"jadi begini, saya meminta tolong sama petugas jaklingko, itu supir jak08 songong² benar, kadang di bus stop mereka tidak mau berhenti, mohon ditindak pak melipat tangan",1
daftar tidak bisa server error terus,0
mantap,1
puas dengan pelayanannya,1
tolong ap nya dibenerin lagi dongs. susah sekale. ribet juga .,0
nih kenapa saya mau bayar mrt jakarta tiba-tiba data saat ini kosong apa coba!? jelasin lah,0
"mau pesan tiket online jadwal selalu kosong, masih bagusan versi yang lama",0
mudah-mudahan kedepannya ada keberangkatan garut bandung di sore hari,1
"kenapa aplikasi error tidak bisa dipergunakan untuk melihat tiket saya, sampai kapan error nya ? sedangkan mau pemberangkatan",0
mantap,1
"aplikasi tidak jelas, meminta upgrade, sudah diisi eh bilang usah upgrade, tidak bisa pesan tiket, dulu2 bisa, sekarang tidak",0
"nyaman,tidak ribet",1
bagus,1
"walaupun 1 rupiah yang ngendap dikai, itu adalah ke dzoliman",1
memudahkan sekali hati merah hati merah,1
ok,1
terbaik,1
ok sangat membantu,1
ngebug terus,0
ok banget pelayanan kai sukses terus,1
sekarang puas lah naik kereta api dan mudah pesan tiketnya juga,1
sangat membantu dalam mengetahui informasi tracking dan jadwal bus,1
"sangat bagus, jarang error",1
praktis,1
bagus,1
"cukup mudah, cuma sayangnya kalau pesan tiket lebaran accesnya sulit dimengerti.",1
aplikasi ini membuat saya lebih mudah untuk menggunakan transportasi umum di jakarta. terima kasih transjakarta jempol ke atas warna kulit cerah,1
terima kasih kai murah dan memudahkan,1
puas sekali,1
praktis,1
mantap,1
